NAME,mean
Gascoigne,0.2143437129370082
Thames,0.1916727305570815
River,0.17889590475516906
Abbey,0.20089809549168844
Village,0.594425979301679
Longbridge,0.40520595040380386
Eastbury,0.30134367200433726
Goresbrook,0.32578837169076885
Mayesbrook,0.4891687590517866
Becontree,0.2787629018380023
Alibon,0.3466723331916702
Valence,0.282340093368143
Heath,0.5101090727620062
Whalebone,0.2662086598313764
Eastbrook,0.5980337301024418
Chadwell Heath,0.5112081506273949
Parsloes,0.33413544821039387
Underhill,0.6400907781744197
High Barnet,0.8149889300833746
West Hendon,0.3957522083347234
Golders Green,0.33109318404511756
Colindale,0.28978238942794393
Childs Hill,0.4418328635564358
Garden Suburb,0.7805625733479574
Finchley Church End,0.530639199877054
East Finchley,0.6177177865184059
Edgware,0.589220948712281
Mill Hill,0.7456088948061231
Hale,0.688935266265883
Totteridge,0.7999706307083155
Oakleigh,0.5446299795118836
Woodhouse,0.5113854485881811
Coppetts,0.5140842003777607
Brunswick Park,0.49810243912471946
East Barnet,0.6114306117878698
Burnt Oak,0.45793245261341364
Hendon,0.4434986148620644
West Finchley,0.42756193700356016
Crayford,0.5046506388415464
North End,0.48245838726802925
Erith,0.1881849621011424
Belvedere,0.2923067508604691
Thamesmead East,0.45687005800641545
Longlands,0.596601389632906
Blackfen and Lamorbey,0.36984610025075415
Cray Meadows,0.7669745481402829
Sidcup,0.5760152781937028
St. Mary's,0.6812010269286959
Falconwood and Welling,0.2955323330069332
East Wickham,0.49241176258103575
Blendon and Penhill,0.42796113153126597
Danson Park,0.5340852342502506
Christchurch,0.43439533821011866
St. Michael's,0.3441224012547735
Brampton,0.3753383242189547
Northumberland Heath,0.36078593859645425
Barnehurst,0.5994476944149408
Colyers,0.40674556184849825
Lesnes Abbey,0.5493952811746312
Northwick Park,0.4880426197702303
Wembley Central,0.28636207549463444
Preston,0.41028230368601665
Stonebridge,0.2034835594673595
Welsh Harp,0.4095771562943477
Barnhill,0.5621167224245687
Fryent,0.53579082871565
Sudbury,0.5064908812037684
Alperton,0.25518952945498996
Kensal Green,0.2847299927038311
Harlesden,0.272644353113524
Willesden Green,0.3360576662289315
Queens Park,0.3403358326645205
Brondesbury Park,0.48356893399751283
Kilburn,0.23046944711562076
Tokyngton,0.23775039376751336
Kenton,0.44798486649001046
Dudden Hill,0.31583940918177383
Dollis Hill,0.34541124850749044
Mapesbury,0.3249533750964949
Queensbury,0.3000281385376592
Darwin,0.9341548933116911
Hayes and Coney Hall,0.8305704115845491
Bromley Common and Keston,0.7902554624714014
Chelsfield and Pratts Bottom,0.8426899857232047
Biggin Hill,0.6859126569244542
West Wickham,0.6639315987841403
Clock House,0.4897063990537128
Kelsey and Eden Park,0.6593789131344971
Farnborough and Crofton,0.742760156435497
Shortlands,0.6537634927460269
Bromley Town,0.5235847975040442
Bickley,0.7120770739610616
Petts Wood and Knoll,0.6649936790927049
Crystal Palace,0.6542774300470346
Penge and Cator,0.5281908593699011
Copers Cope,0.6837775375237934
Plaistow and Sundridge,0.7220356643725933
Chislehurst,0.8460923273682176
Mottingham and Chislehurst North,0.6577492513139591
Orpington,0.6304632843100653
Cray Valley West,0.581771611496946
Cray Valley East,0.7318986745028148
Swiss Cottage,0.46141862355224594
Highgate,0.7589417430448673
Kilburn,0.35215868704445696
Bloomsbury,0.12519579937224556
Holborn and Covent Garden,0.0882692354475241
St. Pancras and Somers Town,0.1263725282273232
Camden Town with Primrose Hill,0.2200909520907069
Cantelowes,0.2899794286111079
King's Cross,0.1717280427681187
Fortune Green,0.40367807384761034
Frognal and Fitzjohns,0.5564406692071697
Gospel Oak,0.3014257926055103
Hampstead Town,0.7362677806559184
Kentish Town,0.23500676687894487
West Hampstead,0.25384555497448297
Belsize,0.3772629710098238
Haverstock,0.2618427171084191
Regent's Park,0.24519050793975322
Castle Baynard,0.016531209175667628
Farringdon Without,0.05976250605398337
Tower,0.05780537133719018
Queenhithe,0.0014316788123824855
Vintry,0.03598938287989384
