NAME,mean
Gascoigne,0.257342238866475
Thames,0.23488837810210988
River,0.19290311973620125
Abbey,0.23015991297719096
Village,0.6305288336060972
Longbridge,0.4779528042825542
Eastbury,0.3674639818309281
Goresbrook,0.4180492696931697
Mayesbrook,0.533464010046956
Becontree,0.30154676547405207
Alibon,0.4282976108599325
Valence,0.3358877745429454
Heath,0.5574911018162944
Whalebone,0.30513620359939925
Eastbrook,0.6454061619655529
Chadwell Heath,0.6052016971364066
Parsloes,0.3973547487859286
Underhill,0.7606455532690811
High Barnet,0.8649797501947932
West Hendon,0.4375381805747483
Golders Green,0.3683281498916905
Colindale,0.3680024976584454
Childs Hill,0.4779726580639115
Garden Suburb,0.8518381246446922
Finchley Church End,0.5813529764128461
East Finchley,0.6748023997964322
Edgware,0.6795790435923458
Mill Hill,0.8052762198843175
Hale,0.7478961011650789
Totteridge,0.8539769992217098
Oakleigh,0.6275883439620058
Woodhouse,0.579277734902728
Coppetts,0.5775160069390963
Brunswick Park,0.5904441999269209
East Barnet,0.694277288964542
Burnt Oak,0.590509600789717
Hendon,0.49239384517359236
West Finchley,0.4611482734312797
Crayford,0.5519268390437901
North End,0.5072072026692278
Erith,0.20655625546223452
Belvedere,0.337833053789499
Thamesmead East,0.522124828002941
Longlands,0.6417685086298813
Blackfen and Lamorbey,0.4746430162627012
Cray Meadows,0.8171966340782726
Sidcup,0.610702037563788
St. Mary's,0.7449911697374892
Falconwood and Welling,0.35390401316101644
East Wickham,0.567465731571319
Blendon and Penhill,0.5056899116255587
Danson Park,0.5787470229521766
Christchurch,0.49173048847410916
St. Michael's,0.4193416988886456
Brampton,0.4540343567562246
Northumberland Heath,0.4240784778530842
Barnehurst,0.6610506307901514
Colyers,0.4854914121370844
Lesnes Abbey,0.6157714538226884
Northwick Park,0.5664131833192659
Wembley Central,0.3605918885792349
Preston,0.4957782377188233
Stonebridge,0.24873342880079852
Welsh Harp,0.4726068718882206
Barnhill,0.6579364628890162
Fryent,0.6155161241058785
Sudbury,0.6049401604611429
Alperton,0.2925207756232689
Kensal Green,0.31755552939329734
Harlesden,0.29887842170160295
Willesden Green,0.3599908588169832
Queens Park,0.37037327420039656
Brondesbury Park,0.540076379519312
Kilburn,0.23638310751035999
Tokyngton,0.28634006295987824
Kenton,0.5593882142483179
Dudden Hill,0.3610821122224324
Dollis Hill,0.39256937500656625
Mapesbury,0.3697168164754446
Queensbury,0.3748749460997624
Darwin,0.9692996790774511
Hayes and Coney Hall,0.896437740653955
Bromley Common and Keston,0.8470760665500019
Chelsfield and Pratts Bottom,0.9066304088367753
Biggin Hill,0.8131977090873792
West Wickham,0.7458545385814678
Clock House,0.5634374805501958
Kelsey and Eden Park,0.745226151960889
Farnborough and Crofton,0.8263752948359201
Shortlands,0.764332118949768
Bromley Town,0.5699325560446643
Bickley,0.7912205615921515
Petts Wood and Knoll,0.7316611906608681
Crystal Palace,0.7307472607363553
Penge and Cator,0.5899614330811835
Copers Cope,0.7794984850222026
Plaistow and Sundridge,0.7485948937571697
Chislehurst,0.8875959912152184
Mottingham and Chislehurst North,0.7202412094751849
Orpington,0.6984294544911818
Cray Valley West,0.6831569126444742
Cray Valley East,0.8228115094486872
Swiss Cottage,0.47074729811694066
Highgate,0.8018048803639592
Kilburn,0.35409636235324304
Bloomsbury,0.13231614084203716
Holborn and Covent Garden,0.08728574188740347
St. Pancras and Somers Town,0.13058724276020925
Camden Town with Primrose Hill,0.22005785739189437
Cantelowes,0.2972798564690223
King's Cross,0.17639909238342846
Fortune Green,0.44489600817180003
Frognal and Fitzjohns,0.6299923906333007
Gospel Oak,0.355753026864914
Hampstead Town,0.754330211587642
Kentish Town,0.23531006858148237
West Hampstead,0.2635749156018338
Belsize,0.3923935168371356
Haverstock,0.3113823335134809
Regent's Park,0.2719867107470318
Castle Baynard,0.014983625952103613
Farringdon Without,0.06753720595295243
Tower,0.06118491440798857
Queenhithe,0.0
Vintry,0.024368683852163318
Dowgate,0.017566419435578313
Bridge,0.007448398244139346
Billingsgate,0.008048908423318318
Farringdon Within,0.02161258771804879
Cripplegate,0.08876814336092992
Langbourn,0.0
Bishopsgate,0.00443725203591564
Cordwainer,0.009238126290620588
Bread Street,0.030844082371577285
Cheap,0.014672100778065961
Bassishaw,0.005586225026288117
Aldersgate,0.08138528138528138
Walbrook,0.0
Cornhill,0.0
Lime Street,0.0
Aldgate,0.014985602068600761
Broad Street,0.013266731120421095
Coleman Street,0.06463346789723688
Portsoken,0.014823746364990427
Candlewick,0.0
Coulsdon East,0.9217086560294943
Selsdon and Ballards,0.9000032077670735
Coulsdon West,0.7861152505067903
Waddon,0.6025593727546983
Kenley,0.9123953861312383
Purley,0.7955844209389028
Sanderstead,0.9096329180755724
Heathfield,0.9133111986001085
Fairfield,0.6326869715398915
Broad Green,0.19743926879806867
West Thornton,0.3628873796244829
Bensham Manor,0.3793228442560139
Norbury,0.6148600460810529
New Addington,0.7767512108173659
Croham,0.7590634875754714
Fieldway,0.7495828607734742
Shirley,0.7290428895005515
Selhurst,0.36006878905272466
Ashburton,0.6590314795963169
Woodside,0.568210447484793
Thornton Heath,0.4479378760326357
Upper Norwood,0.6744642062018501
South Norwood,0.6571991496286582
Addiscombe,0.3858652709869225
Norwood Green,0.6025798468867589
Southall Green,0.17205693543601427
Northolt West End,0.7454953838220573
Dormers Wells,0.656794250310948
Greenford Broadway,0.5685917535693173
North Greenford,0.7211734033255291
Northfield,0.38595027984901475
East Acton,0.2659566975382425
Southall Broadway,0.15705082007783333
Elthorne,0.4355962858917764
Walpole,0.4137650170026445
Lady Margaret,0.32568609839898477
Northolt Mandeville,0.6144516579395501
Hobbayne,0.623455445081552
Cleveland,0.6291172615014042
Greenford Green,0.4308846030753725
Perivale,0.49085184411787736
Ealing Common,0.5487431105779207
Ealing Broadway,0.5013513913470707
South Acton,0.39676637438681994
Southfield,0.3106991924992495
Acton Central,0.42741551818979223
Hanger Hill,0.5886837652465096
Chase,0.8174211293357558
Winchmore Hill,0.6185659398804474
Cockfosters,0.7877166558200192
Highlands,0.8152246207500216
Upper Edmonton,0.295338431020553
Palmers Green,0.43534673138639507
Edmonton Green,0.35969033695818464
Lower Edmonton,0.3648914176363046
Grange,0.6910766175157408
Jubilee,0.45194135897919696
Ponders End,0.30856949787716415
Enfield Highway,0.3901680914199486
Bowes,0.40743709733717465
Southgate Green,0.5815763321873666
Southgate,0.6665306638704487
Haselbury,0.47828784649489753
Bush Hill Park,0.5869987872554103
Town,0.49597112846712316
Southbury,0.42612478972319956
Turkey Street,0.5834528164429422
Enfield Lock,0.6117485836252328
Peninsula,0.10387271780762625
Woolwich Riverside,0.15568543958638606
Greenwich West,0.5099469631894586
Glyndon,0.3415613123400294
Thamesmead Moorings,0.4392752517058415
Middle Park and Sutcliffe,0.7817433081674673
Coldharbour and New Eltham,0.6420293912310169
Eltham South,0.7500136840707424
Shooters Hill,0.783195112782833
Eltham West,0.5486952598723536
Blackheath Westcombe,0.6301527078993093
Kidbrooke with Hornfair,0.6485976699975806
Eltham North,0.6570822039841543
Charlton,0.5192091221797894
Woolwich Common,0.5391426726465232
Plumstead,0.5293592007133674
Abbey Wood,0.6129229378171802
Haggerston,0.20312917442944686
Brownswood,0.36326395909836234
De Beauvoir,0.18353075142648498
Queensbridge,0.31744943225753924
Wick,0.49218627615153104
Dalston,0.2691622737437191
Stoke Newington Central,0.2848829315856383
Hackney Downs,0.4056221866408872
Leabridge,0.46506973660567696
New River,0.29532398819656236
Cazenove,0.25733900072178995
King's Park,0.7234265527412256
Hoxton,0.28085360393971065
Victoria,0.3763092733806649
Hackney Central,0.26320324621748636
Chatham,0.20750875715036152
Clissold,0.2679437994648465
Lordship,0.49842591445774026
Springfield,0.49408244466267387
Palace Riverside,0.49083105967390067
Sands End,0.1411661937012829
Ravenscourt Park,0.35988068713495264
Hammersmith Broadway,0.16467756153793994
Fulham Reach,0.250592449573187
Munster,0.09037520621536635
Parsons Green and Walham,0.22743766567822732
Fulham Broadway,0.21667078412965066
Avonmore and Brook Green,0.24312901073454088
Askew,0.2108280016031231
Wormholt and White City,0.38937442221804874
Shepherd's Bush Green,0.19041687854750272
College Park and Old Oak,0.45989369459262397
Town,0.15089131257433236
North End,0.16970223909549412
Addison,0.15649354253050354
Highgate,0.7351095081944133
Harringay,0.4544907744938591
Fortis Green,0.5981070342765085
Bounds Green,0.4152931417680321
Crouch End,0.537709045903219
Stroud Green,0.473456604228151
Muswell Hill,0.6398009606688825
Hornsey,0.2764924075335262
Alexandra,0.6361240345225111
Noel Park,0.17708210214146775
Woodside,0.43646494691058085
St. Ann's,0.29602364093720585
Seven Sisters,0.29689015827357657
Tottenham Green,0.24945868485851544
West Green,0.5116497969992282
Tottenham Hale,0.4028885674266958
White Hart Lane,0.528673191502556
Bruce Grove,0.19548280032627355
Northumberland Park,0.30772440453429134
Roxeth,0.5601343322715427
Harrow on the Hill,0.7997489523802502
Pinner,0.8537106296708435
Pinner South,0.7047537579049145
Greenhill,0.373124581632602
Headstone North,0.6955208140536632
Marlborough,0.352595570329713
Harrow Weald,0.8429631152046422
Stanmore Park,0.8670172159370387
Canons,0.8085562477097845
Rayners Lane,0.49419816385235016
Roxbourne,0.47892024024479474
West Harrow,0.5565464972658906
Hatch End,0.8134556329352373
Headstone South,0.5115949333768067
Kenton West,0.4891958455127811
Wealdstone,0.36897828568073315
Belmont,0.5701708888740687
Kenton East,0.41885230854223265
Queensbury,0.43466244860598574
Edgware,0.3733992305045513
Rainham and Wennington,0.6654355316534672
South Hornchurch,0.4554193782617107
Upminster,0.8498759017284452
Elm Park,0.6610265827998721
Brooklands,0.5473984110734689
Romford Town,0.35931399642617
Mawneys,0.5061900137235177
Pettits,0.6934226179076518
Hacton,0.5448548389396685
St. Andrew's,0.5136895696016389
Emerson Park,0.7333939170595857
Squirrel's Heath,0.5332666942167236
Harold Wood,0.7913534954563782
Cranham,0.7519786805132967
Havering Park,0.8561867606540386
Heaton,0.6101075238417119
Gooshays,0.8363852483171287
Hylands,0.5764976389079461
Heathrow Villages,0.5054428330660937
Harefield,0.8652042189140993
West Drayton,0.6258722602193914
Yiewsley,0.6117731283250769
Uxbridge South,0.5217267376804213
Brunel,0.6297600019317358
Uxbridge North,0.7287119743428578
Hillingdon East,0.7765073545799659
Ickenham,0.8181931762758822
West Ruislip,0.7642734167791171
Northwood,0.9089300357213295
South Ruislip,0.6797729071503037
Manor,0.579213763750902
Eastcote and East Ruislip,0.7866610992482366
Northwood Hills,0.7812194515836238
Pinkwell,0.4859701583303257
Botwell,0.48809222666442303
Charville,0.6989882317476837
Townfield,0.4768021880850671
Barnhill,0.5627340678224649
Yeading,0.6430832483493217
Cavendish,0.6125687200066369
Syon,0.5530163321696873
Brentford,0.5635359879498922
Chiswick Homefields,0.5436294489162884
Isleworth,0.4640239515248181
Chiswick Riverside,0.6293048182651034
Bedfont,0.6662813151703448
Hanworth,0.6667304792964357
Cranford,0.49440745135071856
Heston West,0.5659439805699668
Heston East,0.5736943816239697
Osterley and Spring Grove,0.718991196180632
Feltham West,0.6482180853641145
Hanworth Park,0.6637370396633365
Feltham North,0.5820158604014138
Hounslow Heath,0.5912089772845963
Hounslow West,0.31614356171379737
Heston Central,0.47040984248883305
Hounslow South,0.48247674181260114
Hounslow Central,0.3860039043757944
Turnham Green,0.35127638235919156
Clerkenwell,0.22695055521377683
Caledonian,0.2682360723466232
St. Mary's,0.3291990069518432
Holloway,0.2921196599066137
Highbury East,0.5314458692563179
Highbury West,0.2983156100332818
Tollington,0.33514899651185653
Bunhill,0.15015900478842
St. Peter's,0.24661902889452345
Canonbury,0.4229195534345848
Barnsbury,0.2798196351928487
St. George's,0.36345881650196743
Junction,0.33275254247434005
Finsbury Park,0.2767582704765925
Hillrise,0.47339128026502264
Mildmay,0.4110239860977887
Cremorne,0.1731016081344199
Royal Hospital,0.3389446248984186
Holland,0.44975029162635405
Norland,0.3825115199674371
Golborne,0.3137239836177411
Redcliffe,0.3295934584311484
Stanley,0.16879596595778623
Brompton,0.1643610969076343
Abingdon,0.1838781263957124
Pembridge,0.18602214838428294
Notting Barns,0.24212731736222812
Colville,0.14163651154310086
St. Charles,0.2954370379573834
Earl's Court,0.17518994389275783
Courtfield,0.2146414273802339
Queen's Gate,0.18570387319730072
Hans Town,0.11356811139345373
Campden,0.4738049225422786
Chessington South,0.8779002874357444
Tolworth and Hook Rise,0.5592845650623721
Berrylands,0.6898454913496386
Alexandra,0.8073410917702163
Beverley,0.5860002065281672
Coombe Hill,0.8806463087997325
Chessington North and Hook,0.6337609939251238
Surbiton Hill,0.6597012632546391
Old Malden,0.667404423355572
St. Mark's,0.5629786156912251
Grove,0.41072557739205334
Canbury,0.3305967899263988
Norbiton,0.5237049785362791
Coombe Vale,0.6756219770810049
St. James,0.6548785154786917
Tudor,0.6358457944835924
Oval,0.2643009204398271
Bishop's,0.1815966379352215
Prince's,0.25395877130628114
Streatham South,0.47160375277370464
St. Leonard's,0.3364876194649735
Streatham Wells,0.5355634359198751
Knight's Hill,0.4400160440132783
Thornton,0.4406587769832691
Streatham Hill,0.38727145402733204
Clapham Common,0.41672655511244483
Brixton Hill,0.2707479234078489
Tulse Hill,0.4262319220993732
Coldharbour,0.2783010446309179
Ferndale,0.1842657605080838
Larkhall,0.3076854482486882
Vassall,0.33705540642155
Gipsy Hill,0.599802537837565
Thurlow Park,0.5420076813713666
Herne Hill,0.4884535686751612
Clapham Town,0.3085412129903396
Stockwell,0.3507589817280765
New Cross,0.2797928468490798
Evelyn,0.28933046308728155
Bellingham,0.6598703627401067
Telegraph Hill,0.45919538102816504
Downham,0.6139197534290157
Whitefoot,0.5878540694527309
Blackheath,0.7622688624829687
Sydenham,0.5999868612050546
Forest Hill,0.6106446222042294
Perry Vale,0.4817171545491388
Rushey Green,0.4404971275921352
Catford South,0.43925247981572724
Crofton Park,0.42964490146111567
Ladywell,0.5712601463848636
Lewisham Central,0.3549722031524092
Brockley,0.4190475941203571
Grove Park,0.6557050025729511
Lee Green,0.48203765102281704
Cannon Hill,0.7367891004069008
Cricket Green,0.6511299653309021
Village,0.8741289334486709
Wimbledon Park,0.48171938030763445
Lower Morden,0.6550902214649089
West Barnes,0.609916573104145
Raynes Park,0.6024928758867312
Dundonald,0.4253492842183779
St. Helier,0.7089245458162055
Ravensbury,0.6671364135306265
Merton Park,0.6429344597475778
Abbey,0.29079439998861134
Figge's Marsh,0.41971674952907356
Pollards Hill,0.6947836258263301
Graveney,0.3839159320205827
Longthornton,0.5264240868343086
Hillside,0.43442914589626197
Trinity,0.44834215402254146
Lavender Fields,0.41163571703406515
Colliers Wood,0.32709383249340046
Royal Docks,0.11366442878131343
Canning Town North,0.3122276435526138
Beckton,0.35169458739318715
East Ham South,0.3642233051001932
Stratford and New Town,0.2206835142733497
Canning Town South,0.13904176285873723
Custom House,0.3844984608037931
Plaistow South,0.25476178001743255
West Ham,0.3754417803377749
Plaistow North,0.18424303345060608
Forest Gate South,0.21655326289391671
Boleyn,0.14495938797960892
East Ham Central,0.17420096916768746
Green Street West,0.07004046697297728
Green Street East,0.07591533618765495
East Ham North,0.2540264485860962
Wall End,0.38237669850837736
Forest Gate North,0.3327797980153733
Manor Park,0.37515617720989697
Little Ilford,0.5806789242501685
Loxford,0.2548121459023188
Wanstead,0.8258852776462708
Cranbrook,0.4682987785689712
Newbury,0.45678406170464747
Roding,0.5968074848725243
Fairlop,0.688573397774591
Goodmayes,0.40009908745807177
Aldborough,0.5723157034919337
Bridge,0.6630187606594654
Hainault,0.784081001746022
Clementswood,0.18161364515416073
Mayfield,0.45212681514684583
Valentines,0.29256490635800947
Seven Kings,0.3673565985941322
Snaresbrook,0.533149586791484
Clayhall,0.4538016205880177
Church End,0.44034435253563914
Barkingside,0.3657814864480706
Fullwell,0.48142567057803787
Chadwell,0.38041104483333477
Monkhams,0.7171314030799236
Teddington,0.8029976653824218
Hampton Wick,0.6460059185841605
Twickenham Riverside,0.5794844090968696
"Ham, Petersham and Richmond Riverside",0.9371468245639789
North Richmond,0.7147570525958569
Kew,0.6834498470238719
Mortlake and Barnes Common,0.5995319380130442
South Twickenham,0.564237164549733
St. Margarets and North Twickenham,0.5208672603831848
South Richmond,0.7086573277748189
Barnes,0.5807446583796911
Hampton,0.8089680701865678
Heathfield,0.570737908207482
East Sheen,0.8706452564970624
Hampton North,0.7313453405147482
Fulwell and Hampton Hill,0.6346504154310169
West Twickenham,0.7024876664624508
Whitton,0.5299916740562246
Riverside,0.14545225722906147
