NAME,green_percentage_GLA,ward code
Cricklewood & Mapesbury,35.20%,E05013499
Abbey Road,40.40%,E05013792
Mill Hill,69.10%,E05013645
Southall Green,17.40%,E05013538
Southbury,43.90%,E05013691
Eastbury,29.80%,E05014060
Markhouse,23.30%,E05013898
West Thamesmead,32.80%,E05014091
Boleyn,22.40%,E05013905
Manor Park,38.70%,E05013916
Green Street East,10.40%,E05013913
Crook Log,34.10%,E05011223
Teddington,73.60%,E05013788
"Mottingham, Coldharbour & New Eltham",45.80%,E05014086
Underhill,54.40%,E05013647
Valence,27.70%,E05014069
Clayhall,40.60%,E05011239
East Putney,37.20%,E05014011
Town,35.10%,E05013693
Heston Central,27.60%,E05013617
Crofton Park,33.80%,E05013718
Haggerston,29.70%,E05009375
Addiscombe East,34.10%,E05011462
Marlborough,23.40%,E05013553
Shepherd's Bush Green,18.40%,E05013748
Village,72.10%,E05013825
Colliers Wood,23.70%,E05013812
Falconwood & Welling,43.50%,E05011226
Beddington,43.70%,E05013754
King's Cross,20.50%,E05013666
St Helier East,43.40%,E05013761
Gooshays,70.50%,E05013971
Lillie,21.70%,E05013742
Brentford West,44.50%,E05013608
Hackbridge,46.30%,E05013759
Stamford Hill West,25.40%,E05009384
Bow East,38.40%,E05009319
Barnsbury,31.90%,E05013698
Finsbury Park,18.40%,E05013703
Burnt Oak,43.80%,E05013630
Cockfosters,80.70%,E05013678
West Harrow,39.40%,E05013563
Hammersmith Broadway,15.50%,E05013741
Bromley Common & Holwood,70.40%,E05013990
Ruislip Manor,39.10%,E05013578
Jubilee,34.40%,E05013684
London Bridge & West Bermondsey,15.90%,E05011104
Chingford Green,65.60%,E05013885
Brixton North,28.00%,E05014096
Heathrow Villages,48.10%,E05013570
Northbury,22.90%,E05014066
Worcester Park South,36.40%,E05013773
Queensbury,37.80%,E05013508
Whitechapel,14.20%,E05009336
South Balham,53.30%,E05014020
Barkingside,23.60%,E05011235
Hatch End,62.50%,E05013549
Stoke Newington,30.00%,E05009385
Raynes Park,38.60%,E05013823
Brompton & Hans Town,21.10%,E05009389
High Barnet,79.00%,E05013644
Ealing Common,44.60%,E05013521
South Acton,28.10%,E05013536
Berrylands,46.00%,E05013929
Holborn & Covent Garden,15.40%,E05013662
Valley,32.90%,E05013901
Colindale North,35.30%,E05013632
Greenhill,25.50%,E05013546
Crystal Palace & Anerley,56.10%,E05013995
Selhurst,26.60%,E05011479
Northumberland Park,33.20%,E05013596
Beam Park,37.10%,E05013967
Stanmore,76.50%,E05013560
Kingston Gate,34.80%,E05013937
St Mary Cray,77.00%,E05014006
Plaistow South,34.50%,E05013919
Wealdstone South,31.40%,E05013562
Woolwich Common,58.90%,E05014093
Belmore,40.30%,E05013564
Grange Park,56.10%,E05013681
Chessington South & Malden Rushett,78.20%,E05013931
The Wrythe,28.90%,E05013769
Lancaster Gate,62.50%,E05013798
College Park & Old Oak,45.40%,E05013736
Alibon,19.90%,E05014054
Wood Street,18.30%,E05013903
Pimlico South,22.20%,E05013803
Tolworth,30.90%,E05013945
Syon & Brentford Lock,54.30%,E05013627
Muswell Hill,47.30%,E05013594
Hounslow West,22.20%,E05013624
Northcote,43.80%,E05014016
Addison,18.20%,E05013733
New Southgate,26.80%,E05013686
Pollards Hill,57.40%,E05013821
Woodberry Down,29.70%,E05009387
Plashet,22.10%,E05013921
Bridge,56.50%,E05011236
Hounslow Heath,58.20%,E05013622
St Peter's & Canalside,22.00%,E05013711
Cricklewood,30.20%,E05013634
Newington,34.90%,E05011105
Bickley & Sundridge,67.40%,E05013988
Canons,52.30%,E05013543
Mawneys,44.70%,E05013978
Rainham & Wennington,59.10%,E05013979
Thamesmead Moorings,46.80%,E05014090
Shacklewell,19.70%,E05009382
"Ham, Petersham & Richmond Riverside",84.60%,E05013777
Lower Morden,49.20%,E05013819
Squirrels Heath,32.40%,E05013985
Stonebridge,27.20%,E05013510
Bethnal Green,29.90%,E05009317
Bruce Castle,39.40%,E05013587
Lower Edmonton,27.60%,E05013685
Ravenscourt,33.70%,E05013746
Wendell Park,33.70%,E05013750
Queen's Park,15.00%,E05013804
Rush Green & Crowlands,53.20%,E05013980
Roehampton,71.70%,E05014017
Tufnell Park,32.70%,E05013713
St Andrew's,32.50%,E05013982
Edgware,41.80%,E05013637
Wimbledon Park,37.60%,E05013828
Goresbrook,31.80%,E05014062
Grove Park,44.00%,E05013723
Furzedown,30.40%,E05014013
Regent's Park,36.90%,E05013668
Mildmay,39.90%,E05013709
Harlesden & Kensal Green,25.20%,E05013501
Wealdstone North,30.00%,E05013561
Winchmore Hill,48.10%,E05013696
Queens Park,33.20%,E05013507
Oval,24.50%,E05014108
Woodhouse,44.20%,E05013651
Osterley & Spring Grove,66.00%,E05013626
Campden,42.30%,E05009390
Merton Park,41.00%,E05013820
West Barnes,41.60%,E05013827
St Pancras & Somers Town,26.70%,E05013669
Vauxhall,21.80%,E05014117
East Ham South,46.10%,E05013910
Old Coulsdon,73.60%,E05011474
Hook & Chessington North,40.10%,E05013935
Brook Green,23.20%,E05013735
Dulwich Village,57.50%,E05011100
Whalebone,20.40%,E05014071
St Mary's,15.30%,E05014018
Forest,44.10%,E05013887
Eastbrook & Rush Green,64.50%,E05014059
Emerson Park,48.70%,E05013970
Kilburn,31.90%,E05013665
Greenford Broadway,46.20%,E05013523
Lady Margaret,34.10%,E05013526
Blendon & Penhill,45.70%,E05011221
Clapham Common & Abbeville,41.60%,E05014099
Eltham Town & Avery Hill,64.00%,E05014079
Lea Bridge,35.70%,E05009380
Churchfields,37.20%,E05011238
Purley Oaks & Riddlesdown,44.30%,E05011477
Sanderstead,67.70%,E05011478
Walpole,38.20%,E05013541
Laycock,26.90%,E05013708
Norwood Green,54.50%,E05013533
Alperton,27.70%,E05013496
Kentish Town North,21.10%,E05013663
Faraday,50.00%,E05011102
Queen's Gate,17.90%,E05009401
Kingsbury,29.60%,E05013504
Central Greenford,36.20%,E05013518
Stonecot,32.90%,E05013764
Orpington,59.30%,E05014001
Telegraph Hill,37.50%,E05013732
Evelyn,29.10%,E05013721
Brixton Windrush,21.30%,E05014098
Blackfen & Lamorbey,39.30%,E05011220
Wallington South,30.70%,E05013771
Perry Vale,33.90%,E05013729
Wembley Central,38.40%,E05013514
Sutton West & East Cheam,31.30%,E05013768
Fulham Town,11.70%,E05013739
East Acton,41.40%,E05013522
Lewisham Central,22.40%,E05013727
King George's & Sunray,54.70%,E05013936
Wandle,21.60%,E05014026
Greenwich Park,56.10%,E05014081
St Mary's & St James',24.10%,E05013710
East Wickham,44.00%,E05011224
Fulham Reach,23.10%,E05013738
Blackheath,54.80%,E05013715
Rye Lane,22.90%,E05011113
Stepney Green,34.40%,E05009334
Cann Hall,16.60%,E05013882
Garden Suburb,61.10%,E05013641
Colham & Cowley,55.70%,E05013566
St Giles,29.50%,E05011115
East Barnet,52.90%,E05013635
Wanstead Park,78.40%,E05011254
Chapel End,40.10%,E05013884
St Mark's & Seething Wells,41.60%,E05013943
Marshalls & Rise Park,49.80%,E05013977
Brockley,36.40%,E05013716
Stockwell East,30.50%,E05014110
Hanwell Broadway,46.00%,E05013525
Surbiton Hill,46.00%,E05013944
West Kensington,17.80%,E05013751
Forest Gate South,20.90%,E05013912
Custom House,42.50%,E05013908
Streatham Hill East,30.70%,E05014113
Redcliffe,43.00%,E05009402
Rotherhithe,38.50%,E05011112
Northwick Park,49.50%,E05013505
Kidbrooke Village & Sutcliffe,55.00%,E05014084
Carterhatch,30.50%,E05013677
Dulwich Hill,39.70%,E05011099
Totteridge & Woodside,78.80%,E05013646
Southfields,27.50%,E05014021
North Greenford,64.00%,E05013528
Bounds Green,35.10%,E05013586
Chiswick Homefields,55.10%,E05013610
Southgate,39.10%,E05013692
Norbury Park,48.00%,E05011473
Clissold,38.50%,E05009369
Feltham West,53.50%,E05013614
Stratford,21.80%,E05013924
West Putney,56.80%,E05014030
Surrey Docks,25.80%,E05011117
Crayford,52.70%,E05011222
Seven Sisters,27.40%,E05013598
Homerton,26.80%,E05009376
Hounslow East,37.20%,E05013621
Chiswick Gunnersbury,52.80%,E05013609
Peckham,24.70%,E05011110
South Bermondsey,27.10%,E05011116
West Twickenham,40.80%,E05013790
King's Park,66.40%,E05009379
Sidcup,48.90%,E05011230
St Dunstan's,26.20%,E05009329
Chadwell,22.80%,E05011237
East Sheen,83.00%,E05013775
Clock House,36.70%,E05013994
Havering-atte-Bower,80.60%,E05013974
Hoe Street,24.80%,E05013893
Gascoigne,24.20%,E05014061
Island Gardens,27.10%,E05009324
North Hanwell,57.20%,E05013529
Primrose Hill,47.90%,E05013667
