ward_code,Observation
E05001240,3776.4
E05001241,4165.6
E05001242,3287
E05001243,2854.4
E05001244,3287.1
E05001245,1747.9
E05001246,2638
E05001247,2816.7
E05001248,3787
E05001249,3629
E05001250,2819.8
E05001251,2082.3
E05001252,2656.9
E05001253,3830.9
E05001254,4115.9
E05001255,4832.5
E05001256,3118.2
E05001257,4134.4
E05001258,4603.1
E05001259,4225.1
E05001260,5768.8
E05001261,4664.6
E05001262,5308.9
E05001263,3203.4
E05001264,3730
E05001265,4232.7
E05001266,3453.5
E05001267,4029.3
E05001268,3860.4
E05001269,4946.8
E05001270,4907.7
E05001271,3851.8
E05001272,4804
E05001273,2353.7
E05001274,5431.4
E05001275,3194
E05001276,4181.1
E05001277,7298.5
E05001278,6036
E05001279,4520.2
E05001280,4842.5
E05001281,3673.9
E05001282,3105.6
E05001283,2234.8
E05001284,328.7
E05001285,992.6
E05001286,3563.5
E05001287,4876.6
E05001288,960.8
E05001289,2460.7
E05001290,4763.2
E05001291,696
E05001292,4649.7
E05001293,245.4
E05001294,3099.6
E05001295,1931.5
E05001296,4714.4
E05001297,2806.5
E05001298,4764.5
E05001299,2965.3
E05001300,5845.9
E05001301,999.5
E05001302,1676.1
E05001303,3359.8
E05001304,3478.5
E05001305,3938
E05001306,3469.3
E05001307,3772.4
E05001308,2110.5
E05001309,4808.9
E05001310,2856.7
E05001311,4541.9
E05001312,2234.3
E05001313,1492.6
E05001314,4541.3
E05001315,2253.5
E05001316,2990.7
E05001317,3119
E05001318,2480.3
E05001319,5429.2
E05001320,3622.5
E05001321,3436.3
E05001322,4958.1
E05001323,3690.9
E05001324,2649.7
E05001325,4508.5
E05001326,3376
E05001327,3816.6
E05001328,4374.6
E05001329,5772.1
E05001330,4926.9
E05001331,5027.2
E05001332,3295.2
E05001333,3782.5
E05001334,4169.8
E05001335,4146.7
E05001336,4650.6
E05001337,2792.1
E05001338,2501.8
E05001339,5006.3
E05001340,2695.7
E05001341,1235.6
E05001342,894.7
E05001343,519.9
E05001344,4194.4
E05001345,3779.4
E05001346,8336.1
E05001347,5012.4
E05001348,3041.7
E05001349,353.6
E05001350,5192
E05001351,5777.8
E05001352,3549.1
E05001353,1909
E05001354,795.6
E05001355,3035.6
E05001356,747.7
E05001357,2234.5
E05001358,8295.1
E05001359,8211.8
E05001360,1765.9
E05001361,3648.5
E05001362,2907.1
E05001363,1298.6
E05001364,9288.1
E05001365,1451.2
E05001366,757.5
E05001367,5508.7
E05001368,3964.7
E05001369,238.4
E05001370,1948.8
E05001371,911.3
E05001372,111.8
E05001373,1297.9
E05001374,582
E05001375,1099.9
E05001376,823.9
E05001377,214.2
E05001378,846.8
E05001379,3736.7
E05001380,7081.5
E05001381,2468.1
E05001382,189.2
E05001383,3638.1
E05001384,3333
E05001385,326.3
E05001386,1395.8
E05001387,1950.8
E05001389,1800.9
E05001390,2398.1
E05001391,4631.2
E05001392,1378.3
E05001393,1414.8
E05001396,1352.9
E05001397,404.2
E05001398,3117.9
E05001399,1373.3
E05001400,4106.6
E05001401,3049
E05001402,4938.1
E05001403,3375.3
E05001405,322.8
E05001407,2882.9
E05001408,1489.8
E05001409,1461.3
E05001410,2229
E05001444,372
E05001445,2068.6
E05001446,1462.3
E05001447,2409
E05001448,433
E05001449,813.3
E05001450,739.1
E05001451,2324.4
E05001452,1143.7
E05001453,1347.7
E05001454,1388.6
E05001455,1545.8
E05001456,739.8
E05001457,1239.4
E05001458,1237.7
E05001459,3198.6
E05001460,4243.1
E05001461,409.3
E05001462,1816.4
E05001463,2487.9
E05001464,1590.8
E05001527,4517.7
E05001528,720
E05001529,4690.7
E05001530,264.7
E05001531,2007.9
E05001532,2111.5
E05001533,460.7
E05001534,4098.4
E05001535,3406.4
E05001536,3872.4
E05001537,1583.9
E05001538,770.4
E05001539,3302.6
E05001540,2250.7
E05001541,3857
E05001542,180.8
E05001543,4064.6
E05001544,3006.1
E05001545,2774.3
E05001546,2147.9
E05001547,4355.5
E05001548,2012.9
E05001549,1917.1
E05001550,2958.4
E05001551,95.8
E05001552,605.4
E05001643,4663.5
E05001644,4021.2
E05001645,6485
E05001646,8194
E05001647,6672.8
E05001648,2897.5
E05001649,3250
E05001650,7143.9
E05001651,6151.1
E05001652,3368.7
E05001653,5102.8
E05001654,1594.3
E05001655,3274.4
E05001656,3109.6
E05001657,5834
E05001658,1723.9
E05001659,5467.9
E05001660,7382.7
E05001661,6421.8
E05001662,5975.9
E05001663,4620.2
E05001687,66.7
E05001688,217.5
E05001689,608.5
E05001690,1721.6
E05001691,795.3
E05001692,1972.9
E05001693,192.5
E05001694,111.6
E05001695,38.1
E05001696,2437.7
E05001697,1929.3
E05001698,2712.6
E05001699,246
E05001700,60.5
E05001701,63.1
E05001702,781.1
E05001703,161.2
E05001704,284.3
E05001705,1563.4
E05001706,77.1
E05001707,77.8
E05001708,386.3
E05001709,267.2
E05001710,2005.5
E05001711,1285.5
E05001712,44.6
E05001713,5235.9
E05001714,3976.4
E05001715,1887.3
E05001716,1728.4
E05001717,3099.7
E05001718,801.2
E05001719,281
E05001720,2923.3
E05001721,3462
E05001722,6229.8
E05001723,4335.9
E05001724,391
E05001725,2020.6
E05001726,96.1
E05001727,3980.2
E05001728,4393.6
E05001729,123.8
E05001730,88.5
E05001731,89.3
E05001732,464.5
E05001733,1485.1
E05001734,119.2
E05001735,94.6
E05001736,3406.8
E05001737,225.8
E05001738,134.9
E05001739,1748.6
E05001740,81
E05001741,807.4
E05001742,2944.5
E05001743,89.6
E05001744,1671.3
E05001767,5742
E05001768,2091
E05001769,2392
E05001770,6235.7
E05001771,3948.9
E05001772,4513.6
E05001773,3435
E05001774,3097
E05001775,2961
E05001776,2796.6
E05001777,2761.5
E05001778,5418.4
E05001779,3344.8
E05001780,8736.9
E05001781,4700.2
E05001782,2500
E05001783,1587.1
E05002078,2889.6
E05002079,4961.4
E05002080,4304.2
E05002081,12663.9
E05002082,4571.9
E05002083,3607.9
E05002084,4271.5
E05002085,2865.4
E05002086,1599
E05002087,4646.6
E05002088,5346
E05002089,2147.1
E05002090,2289.6
E05002091,2061
E05002092,1634.1
E05002093,4080.1
E05002094,5784.7
E05002095,3086
E05002096,6121.5
E05002097,5186.3
E05002193,4930.2
E05002194,11281.9
E05002195,3971.8
E05002196,6260.4
E05002197,4410.9
E05002198,7465.3
E05002199,4019.3
E05002200,7098.3
E05002201,4350.7
E05002202,6626.9
E05002203,6154.4
E05002204,5755.1
E05002205,6967.5
E05002206,6448.8
E05002207,8872.5
E05002208,6132.8
E05002209,2232.5
E05002210,4111.8
E05002211,1961.4
E05002212,3581
E05002213,4854.5
E05002214,6139.7
E05002215,4221.8
E05002216,9627.4
E05002217,6655.7
E05002218,7151.9
E05002219,4302
E05002220,3597.4
E05002221,3190.4
E05002222,3081.9
E05002223,2181.6
E05002224,3300.9
E05002225,8087
E05002226,12298.6
E05002227,3118.3
E05002228,3527
E05002229,1079.1
E05002230,1667.8
E05002231,2917.8
E05002232,3425.7
E05002233,269.6
E05002234,447.5
E05002235,5661
E05002236,5442.4
E05002237,3281.9
E05002238,3835.2
E05002239,1038.7
E05002240,135.8
E05002241,5471.3
E05002242,5521
E05002243,1172
E05002244,2336.9
E05002245,3915.7
E05002246,1056.5
E05002247,1770.7
E05002248,1306.7
E05002249,7952
E05002250,435.7
E05002251,6593.7
E05002252,8844.3
E05002253,1968.8
E05002254,1613.4
E05002255,5414.5
E05002256,210.9
E05002257,5087
E05002258,3731.1
E05002259,1311.8
E05002260,2414.2
E05002261,2518.8
E05002262,7682
E05002263,3571.4
E05002264,1824.1
E05002265,4840.4
E05002266,447.3
E05002267,4266
E05002268,4515
E05002269,5072.9
E05002270,3726.1
E05002271,349.2
E05002272,576.5
E05002273,4124.5
E05002274,2232.3
E05002275,1446
E05002276,5526.1
E05002277,507.2
E05002278,2599.3
E05002279,1939.7
E05002280,4729
E05002281,4624
E05002282,1195
