WD22CD,WD22NM,mean
E05009317,Bethnal Green,0.2695559231637044
E05009318,Blackwall & Cubitt Town,0.11808367838467147
E05009319,Bow East,0.3377614669280048
E05009320,Bow West,0.44122103911692256
E05009321,Bromley North,0.17081310202375177
E05009322,Bromley South,0.16505502690346854
E05009323,Canary Wharf,0.056161704621667204
E05009324,Island Gardens,0.3709646061714846
E05009325,Lansbury,0.14882524069887307
E05009326,Limehouse,0.17832507267105538
E05009327,Mile End,0.3023273365669244
E05009328,Poplar,0.18449987704414106
E05009329,St Dunstan's,0.28756421569024265
E05009330,St Katharine's & Wapping,0.17320553319467707
E05009331,St Peter's,0.2167909327568766
E05009332,Shadwell,0.13359938308391342
E05009333,Spitalfields & Banglatown,0.13293074129015517
E05009334,Stepney Green,0.32426115198892014
E05009335,Weavers,0.26927653857571987
E05009336,Whitechapel,0.12794543725152432
E05009367,Brownswood,0.3800388022399009
E05009368,Cazenove,0.26457372796287204
E05009369,Clissold,0.4186618822736865
E05009370,Dalston,0.25475910350161124
E05009371,De Beauvoir,0.22923404523482932
E05009372,Hackney Central,0.2695013185363751
E05009373,Hackney Downs,0.37997867987146566
E05009374,Hackney Wick,0.4284845777971952
E05009375,Haggerston,0.3041745080892944
E05009376,Homerton,0.207218099858225
E05009377,Hoxton East & Shoreditch,0.13887781080537687
E05009378,Hoxton West,0.3217852763381492
E05009379,King's Park,0.7223550800498894
E05009380,Lea Bridge,0.4257766426189053
E05009381,London Fields,0.33331369180844606
E05009382,Shacklewell,0.24602780994946233
E05009383,Springfield,0.42316455834336886
E05009384,Stamford Hill West,0.28306892138327955
E05009385,Stoke Newington,0.3631807770579898
E05009386,Victoria,0.4273458379456066
E05009387,Woodberry Down,0.3554195738403289
E05009388,Abingdon,0.1772687117192097
E05009389,Brompton & Hans Town,0.1450287066435997
E05009390,Campden,0.38107228854986525
E05009391,Chelsea Riverside,0.1729414752724618
E05009392,Colville,0.19356424640135492
E05009393,Courtfield,0.2039870023739491
E05009394,Dalgarno,0.3739423697597795
E05009395,Earl's Court,0.211250111063884
E05009396,Golborne,0.2063769573370298
E05009397,Holland,0.45647785292698384
E05009398,Norland,0.3601393381167014
E05009399,Notting Dale,0.27790070641733855
E05009400,Pembridge,0.21492343412352075
E05009401,Queen's Gate,0.16416469792461233
E05009402,Redcliffe,0.3079156014967952
E05009403,Royal Hospital,0.25975785649648364
E05009404,St. Helen's,0.23172452127702073
E05009405,Stanley,0.17010915265694385
E05011095,Borough & Bankside,0.07141362923105002
E05011096,Camberwell Green,0.2454425831578908
E05011097,Champion Hill,0.5430291689560456
E05011098,Chaucer,0.2472835043903102
E05011099,Dulwich Hill,0.5571203289876407
E05011100,Dulwich Village,0.6874169285728707
E05011101,Dulwich Wood,0.81047766130175
E05011102,Faraday,0.45146110842740544
E05011103,Goose Green,0.30556156572948984
E05011104,London Bridge & West Bermondsey,0.1221183126238939
E05011105,Newington,0.337359871646003
E05011106,North Bermondsey,0.3409404830108218
E05011107,North Walworth,0.19755484576751126
E05011108,Nunhead & Queen's Road,0.3990165986348351
E05011109,Old Kent Road,0.17954822563723374
E05011110,Peckham,0.2419872026973399
E05011111,Peckham Rye,0.7135138687713861
E05011112,Rotherhithe,0.3075183604418182
E05011113,Rye Lane,0.2365979319880573
E05011114,St George's,0.14831676395865498
E05011115,St Giles,0.37638685003740663
E05011116,South Bermondsey,0.18805226540573708
E05011117,Surrey Docks,0.28442440270719394
E05011217,Barnehurst,0.48160687227080723
E05011218,Belvedere,0.41181978162527494
E05011219,Bexleyheath,0.4482348161504331
E05011220,Blackfen & Lamorbey,0.4257378072531168
E05011221,Blendon & Penhill,0.5022541200576179
E05011222,Crayford,0.5449010684898004
E05011223,Crook Log,0.37037526650414915
E05011224,East Wickham,0.46833983239973737
E05011225,Erith,0.26209113607802736
E05011226,Falconwood & Welling,0.46871335163179123
E05011227,Longlands,0.5480522667556248
E05011228,Northumberland Heath,0.4021028241966223
E05011229,St Mary's & St James,0.7962076667585045
E05011230,Sidcup,0.5583894835195018
E05011231,Slade Green & Northend,0.6113788458022689
E05011232,Thamesmead East,0.5230971986503123
E05011233,West Heath,0.352494655033833
E05011234,Aldborough,0.572918284285327
E05011235,Barkingside,0.3338092811520425
E05011236,Bridge,0.6931973245891334
E05011237,Chadwell,0.3068443571654166
E05011238,Churchfields,0.4783967682246557
E05011239,Clayhall,0.41558588028664667
E05011240,Clementswood,0.13685173025233272
E05011241,Cranbrook,0.3175666758684418
E05011242,Fairlop,0.5666111384571749
E05011243,Fullwell,0.4613808372989099
E05011244,Goodmayes,0.320402345885366
E05011245,Hainault,0.7224185648371739
E05011246,Ilford Town,0.13714140939738456
E05011247,Loxford,0.30027355135241934
E05011248,Mayfield,0.3724579642941818
E05011249,Monkhams,0.6799053268934178
E05011250,Newbury,0.4312588754300825
E05011251,Seven Kings,0.33119301985762667
E05011252,South Woodford,0.4885163436896793
E05011253,Valentines,0.375039294724059
E05011254,Wanstead Park,0.8053806199752388
E05011255,Wanstead Village,0.5487290345103714
E05011462,Addiscombe East,0.476459382094235
E05011463,Addiscombe West,0.3172009082043382
E05011464,Bensham Manor,0.31190783399914584
E05011465,Broad Green,0.16869967542230416
E05011466,Coulsdon Town,0.6739761843713169
E05011467,Crystal Palace & Upper Norwood,0.6433446175101101
E05011468,Fairfield,0.17231883046721042
